category,text
negative,"Genomic evidence of genetic variation with pleiotropic effects on caterpillar fitness and plant traits in a model legume. Plant-insect interactions are ubiquitous, and have been studied intensely because of their relevance to damage and pollination in agricultural plants, and to the ecology and evolution of biodiversity. Variation within species can affect the outcome of these interactions. Specific genes and chemicals that mediate these interactions have been identified, but genome- or metabolome-scale studies might be necessary to better understand the ecological and evolutionary consequences of intraspecific variation for plant-insect interactions. Here, we present such a study. Specifically, we assess the consequences of genome-wide genetic variation in the model plant Medicago truncatula for Lycaeides melissa caterpillar growth and survival (larval performance). Using a rearing experiment and a whole-genome SNP data set (>5 million SNPs), we found that polygenic variation in M. truncatula explains 9%-41% of the observed variation in caterpillar growth and survival. Genetic correlations among caterpillar performance and other plant traits, including structural defences and some anonymous chemical features, suggest that multiple M. truncatula alleles have pleiotropic effects on plant traits and caterpillar performance (or that substantial linkage disequilibrium exists among distinct loci affecting subsets of these traits). A moderate proportion of the genetic effect of M. truncatula alleles on L. melissa performance can be explained by the effect of these alleles on the plant traits we measured, especially leaf toughness. Taken together, our results show that intraspecific genetic variation in M. truncatula has a substantial effect on the successful development of L. melissa caterpillars (i.e., on a plant-insect interaction), and further point toward traits potentially mediating this genetic effect. "
negative,"Application of a dense genetic map for assessment of genomic responses to selection and inbreeding in Heliothis virescens. Adaptation of pest species to laboratory conditions and selection for resistance to toxins in the laboratory are expected to cause inbreeding and genetic bottlenecks that reduce genetic variation. Heliothis virescens, a major cotton pest, has been colonized in the laboratory many times, and a few laboratory colonies have been selected for Bacillus thuringiensis (Bt) resistance. We developed 350-bp double-digest restriction-site associated DNA-sequencing (ddRAD-seq) molecular markers to examine and compare changes in genetic variation associated with laboratory adaptation, artificial selection and inbreeding in this nonmodel insect species. We found that allelic and nucleotide diversity declined dramatically in laboratory-reared H. virescens as compared with field-collected populations. The declines were primarily a result of the loss of low frequency alleles present in field-collected H. virescens. A further, albeit modest decline in genetic diversity was observed in a Bt-selected population. The greatest decline was seen in H. virescens that were sib-mated for 10 generations, in which more than 80% of loci were fixed for a single allele. To determine which regions of the genome were resistant to fixation in our sib-mated line, we generated a dense intraspecific linkage map containing three PCR-based and 659 ddRAD-seq markers. Markers that retained polymorphism were observed in small clusters spread over multiple linkage groups, but this clustering was not statistically significant. Overall, we have confirmed and extended the general expectations for reduced genetic diversity in laboratory colonies, provided tools for further genomic analyses and produced highly homozygous genomic DNA for future whole genome sequencing of H. virescens. "
positive,"Characterization of a broad-based mosquito yeast interfering RNA larvicide with a conserved target site in mosquito semaphorin-1a genes. BACKGROUND: RNA interference (RNAi), which has facilitated functional characterization of mosquito neural development genes such as the axon guidance regulator semaphorin-1a (sema1a), could one day be applied as a new means of vector control. Saccharomyces cerevisiae (baker's yeast) may represent an effective interfering RNA expression system that could be used directly for delivery of RNA pesticides to mosquito larvae. Here we describe characterization of a yeast larvicide developed through bioengineering of S. cerevisiae to express a short hairpin RNA (shRNA) targeting a conserved site in mosquito sema1a genes. RESULTS: Experiments conducted on Aedes aegypti larvae demonstrated that the yeast larvicide effectively silences sema1a expression, generates severe neural defects, and induces high levels of larval mortality in laboratory, simulated-field, and semi-field experiments. The larvicide was also found to induce high levels of Aedes albopictus, Anopheles gambiae and Culex quinquefasciatus mortality. CONCLUSIONS: The results of these studies indicate that use of yeast interfering RNA larvicides targeting mosquito sema1a genes may represent a new biorational tool for mosquito control. "
negative,"Evolutionary analysis of herbivorous insects in natural and agricultural environments. Herbivorous insects offer a remarkable example of the biological diversity that formed the foundation for Darwin's theory of evolution by natural selection. The ability of insects to evolve resistance rapidly to insecticides and host-plant resistance present a continual challenge for pest management. This paper considers the manner in which genetic constraints, host-plant availability and trade-offs affect the evolution of herbivorous insects in natural and agricultural environments, and the extent to which lessons learned from studying natural systems may be applied to improve insect resistance management in agricultural systems. Studies on the genetic architecture of adaptation by herbivores to host plants and to insecticides are reviewed. The genetic basis of resistance is an important component of simulation models that predict the evolution of resistance. These models often assume monogenic resistance, but available data suggest that this assumption may be overly narrow and that modeling of resistance as oligogenic or polygenic may be more appropriate. As omics (e.g. genomics and proteomics) technologies become more accessible, a better understanding of the genetic basis of resistance will be possible. Trade-offs often accompany adaptations by herbivores. Trade-offs arise when the benefit of a trait, such as the ability to feed on a novel host plant or to survive in the presence of an insecticide, is counterbalanced by fitness costs that decrease fitness in the absence of the selective agent. For resistance to insecticides, and resistance to insecticidal transgenic crops in particular, fitness costs may act as an evolutionary constraint and delay or prevent the evolution of resistance. An important observation is that certain ecological factors such as host plants and entomopathogens can magnify fitness costs, which is termed ecological negative cross-resistance. The application of omics technologies may allow for more efficient identification of factors that will impose ecological negative cross-resistance, thereby bolstering insect resistance management. "
negative,"The PKA-CREB system encoded by the honeybee genome. The cAMP-dependent kinase (PKA) plays a crucial part in long-term memory formation in the honeybee (Apis mellifera). One of the putative substrates of the PKA activity is the cAMP response element binding protein (CREB), a transcription factor in the bZIP protein family. We searched the honeybee genome to characterize genes from the CREB / CREM and the PKA families. We identified two genes that encode regulatory subunits and three genes encode catalytic subunits of PKA. Eight genes code for bZIP proteins, but only one gene was found that encodes a member of the CREB / CREM family. The phylogenetic relationship of these genes was analysed with their Drosophila and human counterparts. "
negative,"Construction and application of an HSP70 promoter-inducible genome editing system in transgenic silkworm to induce resistance to Nosema bombycis. The microsporidian Nosema bombycis is an obligate intracellular parasitic fungus that causes devastating disease in sericulture. To date, no efficient biotechnological method to inhibit the proliferation of microspores has been established. Here, we developed a powerful genetic engineering technique involving microsporidia-inducible genome editing in transgenic silkworm that confers resistance to N. bombycis. This system includes an HSP70 promoter-induced expression of the Cas9 protein line and a target BmATAD3A gene line. The double-positive HSP70-Cas9(+)×sgATAD3A(+) lines were obtained by hybridization and activation of the CRISPR / Cas9 system under the condition of microsporidia infection, although it is silenced in uninfected individuals. Genome editing analysis showed that the system could efficiently edit the BmATAD3A gene and induce large deletions. It is notable that the HSP70-induced system could effectively improve the survival rate of transgenic silkworm after microsporidia infection and inhibit the expression of key microsporidia genes. Moreover, no significant developmental differences between the transgenic silkworms infected with microsporidia and normal individuals were observed. In this study, we effectively inhibited microsporidia proliferation in transgenic individuals through disruptive techniques, thereby providing a method for microsporidia treatment and prevention, paving the way for economically advantageous insect breeding. "
positive,"Bombyxin / Akt signaling in relation to the embryonic diapause process of the silkworm, Bombyx mori. Our previous study showed that phosphorylation of glycogen synthase kinase (GSK)-3β is related to the embryonic diapause process in Bombyx. However, the upstream signaling pathway was not clearly understood. In the present study, we examined bombyxin / Akt signaling in relation to the embryonic diapause process of B. mori. Results showed that GSK-3β phosphorylation stimulated by dechorionation was blocked by LY294002, a specific phosphatidylinositol 3-kinase (PI3K) inhibitor, indicating involvement of PI3K in GSK-3β phosphorylation in dechorionated eggs. Direct determination of Akt phosphorylation showed that dechorionation stimulated Akt phosphorylation. The Akt phosphorylation was blocked by LY294002. Temporal changes in Akt phosphorylation showed that different changing patterns exist between diapause and developing eggs. Relatively higher phosphorylation levels of Akt were detected between days 3 and 5 after oviposition in non-diapause eggs compared to those at the same stages in diapause eggs. Upon treatment with HCl, which prevents diapause initiation, Akt phosphorylation levels exhibited a later and much broader peak compared to diapause eggs. Examination of expression levels of the bombyxin-Z1 gene showed that in diapause eggs, a major peak occurred 1 day after oviposition, and its level then sharply decreased on day 2. However, in both non-diapause and HCl-treated eggs, a major broad peak was detected between days 1 and 4 after oviposition. These temporal changes in bombyxin-Z1 gene expression levels during embryonic stages coincided with changes in Akt phosphorylation, indicating that bombyxin-Z1 is likely an upstream signaling component for Akt phosphorylation. Taken together, our results indicated that PI3K / Akt is an upstream signaling pathway for GSK-3β phosphorylation and is associated with the diapause process of B. mori eggs. To our knowledge, this is the first study to demonstrate the potential correlation between bombyxin / Akt signaling and the embryonic diapause process. "
negative,"Construction and long term preservation of clonal transgenic silkworms using a parthenogenetic strain. For the functional analysis of insect genes as well as for the production of recombinant proteins for biomedical use, clonal transgenic silkworms are very useful. We examined if they could be produced in the parthenogenetic strain that had been maintained for more than 40years as a female line in which embryogenesis is induced with nearly 100% efficiency by a heat shock treatment of unfertilized eggs. All individuals have identical female genotype. Silkworm transgenesis requires injection of the DNA constructs into the non-diapausing eggs at the preblastodermal stage of embryogenesis. Since our parthenogenetic silkworms produce diapausing eggs, diapause programing was eliminated by incubating ovaries of the parthenogenetic strain in standard male larvae. Chorionated eggs were dissected from the implants, activated by the heat shock treatment and injected with the transgene construct. Several transgenic individuals occurred in the daughter generation. Southern blotting analysis of two randomly chosen transgenic lines VTG1 and VTG14 revealed multiple transgene insertions. Insertions found in the parental females were transferred to the next generation without any changes in their sites and copy numbers, suggesting that transgenic silkworms can be maintained as clonal strains with homozygous transgenes. Cryopreservation was developed for the storage of precious genotypes. As shown for the VTG1 and VTG14 lines, larval ovaries can be stored in DMSO at the temperature of liquid nitrogen, transferred to Grace's medium during defrosting, and then implanted into larvae of either sex of the standard silkworm strains C146 and w1-pnd. Chorionated eggs, which developed in the implants, were dissected and activated by the heat shock to obtain females (nearly 100% efficiency) or by a cold shock to induce development to both sexes in 4% of the eggs. It was then possible to establish bisexual lines homozygous for the transgene.  "
negative,"Genomic evidence for complementary purine metabolism in the pea aphid, Acyrthosiphon pisum, and its symbiotic bacterium Buchnera aphidicola. The purine salvage pathway recycles purines to nucleotides, promoting efficient utilization of purine nucleotides. Exceptionally among animals with completely sequenced genomes, the pea aphid lacks key purine recycling genes that code for purine nucleoside phosphorylase and adenosine deaminase, indicating that the aphid can neither metabolize nucleosides to the corresponding purines, nor adenosine to inosine. Purine metabolism genes in the symbiotic bacterium Buchnera complement aphid genes, and Buchnera can meet its nucleotide requirement from aphid-derived guanosine. Buchnera demand for nucleosides may have relaxed the selection for purine recycling in the aphid, leading to the loss of key aphid purine salvage genes. Further, the coupled purine metabolism of aphid and Buchnera could contribute to the dependence of the pea aphid on this symbiosis. "
positive,"Primary structure of apolipophorin-III from the migratory locust, Locusta migratoria. Potential amphipathic structures and molecular evolution of an insect apolipoprotein. The amino acid sequence of an insect apolipoprotein, apolipophorin-III from Locusta migratoria, has been deduced from the sequence of its cloned cDNA. The mature hemolymph protein consists of 161 amino acids. Optimized alignments of this protein with apolipophorin-III from the tobacco hornworm, Manduca sexta, disclosed an overall sequence identity of only 29%, even though the two proteins are functionally equivalent. The L. migratoria sequence is composed of 12 repeating peptides that are variable in length. Six amphipathic helical segments of varying length were identified in each protein using a newly described algorithm for detecting such secondary structures. The degree of sequence identity between the two insect apoproteins is considerably less than that observed among orthologous mammalian apolipoproteins. However, calculation of the rates of synonymous and nonsynonymous nucleotide substitutions indicates that the insect genes may be evolving at rates similar to the mammalian apolipoprotein genes. Further comparative analyses of insect and mammalian apolipoproteins should provide insights about the limits of sequence diversity tolerated by their predicted amphipathic helical domains. "
positive,"Brownie, a gene involved in building complex respiratory devices in insect eggshells. BACKGROUND: Insect eggshells must combine protection for the yolk and embryo with provisions for respiration and for the entry of sperm, which are ensured by aeropyles and micropyles, respectively. Insects which oviposit the eggs in an egg-case have a double problem of respiration as gas exchange then involves two barriers. An example of this situation is found in the cockroach Blattella germanica, where the aeropyle and the micropyle are combined in a complex structure called the sponge-like body. The sponge-like body has been well described morphologically, but nothing is known about how it is built up. METHODOLOGY / PRINCIPAL FINDINGS: In a library designed to find genes expressed during late chorion formation in B. germanica, we isolated the novel sequence Bg30009 (now called Brownie), which was outstanding due to its high copy number. In the present work, we show that Brownie is expressed in the follicle cells localized in the anterior pole of the oocyte in late choriogenesis. RNA interference (RNAi) of Brownie impaired correct formation of the sponge-like body and, as a result, the egg-case was also ill-formed and the eggs were not viable. CONCLUSIONS / SIGNIFICANCE: Results indicate that the novel gene Brownie plays a pivotal role in building up the sponge-like body. Brownie is the first reported gene involved in the construction of complex eggshell respiratory structures. "
positive,"The expression of cockroach insulin-like peptides is differentially regulated by physiological conditions and affected by compensatory regulation. In insects, the insulin receptor (InR) pathway is involved in regulating key physiological processes, including juvenile hormone (JH) synthesis, vitellogenin production, and oocyte growth. This raises the question about which ligand (or ligands) binds to InR to trigger the above effects. We have cloned seven insulin-like peptides (BgILP1 to 7) from female Blattella germanica cockroaches and found that the brain expresses BgILP1 to 6, the fat body BgILP7, and the ovary BgILP2. Starvation induces the reduction of BgILP3, 5, and 6 mRNA levels in the brain, and the various BgILPs are differentially expressed during the gonadotrophic cycle. In addition, by knocking down the BgILPs we were able to identify compensatory regulation at transcriptional level between the different BgILPs, although none of the BgILP knockdown assays, including the knockdown of the seven BgILPs, produced the same phenotypes that we achieved by depleting InR. Taken together, the results indicate that B. germanica ILPs are differentially expressed in tissues and in response to physiological conditions, and that they are affected by compensatory regulation. "
negative,"Copy number variations among silkworms. BACKGROUND: Copy number variations (CNVs), which are important source for genetic and phenotypic variation, have been shown to be associated with disease as well as important QTLs, especially in domesticated animals. However, little is known about the CNVs in silkworm. RESULTS: In this study, we have constructed the first CNVs map based on genome-wide analysis of CNVs in domesticated silkworm. Using next-generation sequencing as well as quantitative PCR (qPCR), we identified ~319 CNVs in total and almost half of them (~ 49%) were distributed on uncharacterized chromosome. The CNVs covered 10.8 Mb, which is about 2.3% of the entire silkworm genome. Furthermore, approximately 61% of CNVs directly overlapped with SDs in silkworm. The genes in CNVs are mainly related to reproduction, immunity, detoxification and signal recognition, which is consistent with the observations in mammals. CONCLUSIONS: An initial CNVs map for silkworm has been described in this study. And this map provides new information for genetic variations in silkworm. Furthermore, the silkworm CNVs may play important roles in reproduction, immunity, detoxification and signal recognition. This study provided insight into the evolution of the silkworm genome and an invaluable resource for insect genomics research. "
negative,"Baculovirus diversity and molecular biology. With the identification and characterization of a number of structural and nonstructural protein genes, advances have been made in our understanding of baculovirus structure, regulation of gene expression, and replication. Since less than 30% of the AcMNPV genome has been sequenced and characterized, the continued identification and assignment of function to baculovirus genes is perhaps the most crucial of enterprises now facing baculovirologists and is critical to the development of our understanding of the baculovirus genome and its replication. The size and diversity of baculovirus genomes appears to be strongly influenced by mobile DNA from the insect host. Also, transposon-mediated mutations of baculoviruses provide examples of functional inactivation of viral genes (FP phenotype mutations) and transcriptional activation (TE-D insertion). Another role transposable elements may play is the introduction of insect promoters and enhancers to the baculovirus genome. Since early baculovirus genes are likely transcribed in a way similar to normal insect genes, transposons that insert strong constitutive promoters or cellular enhancers near early baculovirus genes may cause mutations that are subsequently selected for. If this does occur, baculovirus early gene promoters may exhibit a great deal of variability in sequence and may resemble host promoters. Given the overall similarity between the genomes of OpMNPV and AcMNPV and the apparent absence of a region, similar to the AcMNPV HindIII-K / EcoR1-S in OpMNPV, it is intriguing to speculate that this region which contains two ORFs and the hr5 enhancer, may have been inserted into the AcMNPV genome by transposition, possibly delivering several helpful genes (35k and 94k) and a powerful enhancer. The highly repeated enhancer may have been subsequently amplified by recombination. In such a model, the acquisition of general or species-specific enhancers might influence both virulence and host range. Acquisition of general enhancers could increase the level of early gene expression, thus accelerating the cellular infection cycle and making the virus more virulent. Similarly, the acquisition of species-specific enhancers might affect host range by accelerating the infection cycle, but only in a specific host or cell type. One might therefore postulate that diversity in baculoviruses may reflect not only different selection pressures but also the diversity of mobile DNA within host insect species. Although our understanding of baculovirus diversity and molecular biology is rapidly advancing, many of the fundamental characteristics that define the unique nature of baculoviruses remain poorly understood. One fundamental feature of baculoviruses is the production of the two virion phenotypes, PDV and BV.(ABSTRACT TRUNCATED AT 400 WORDS) "
positive,"DDC plays vital roles in the wing spot formation, egg production, and chorion tanning in the brown planthopper. The gene dopa decarboxylase (Nlddc) of the brown planthopper (BPH, Nilaparvata lugens) was identified in the genome and transcriptome of the insect. The open reading frame of Nlddc is 1,434 bp in length and, it has the potential to encode a protein of 477 amino acid with a conserved pyridoxal-dependent decarboxylase domain and a typical motif, NFNPHKW. Real-time quantification polymerase chain reaction analyses revealed that this gene was highly expressed in the integument and brain, and transcript level peaked in the late stages of egg period and each nymph instar with periodicity. RNA interference results revealed that Nlddc played essential roles in pigment synthesis, formation of wing spot, egg production, and tanning of the chorion. A rapid accumulation of Nlddc transcripts was detected, and it coincided with the injection of the hormone 20-hydroxyecdysone (20E), suggesting that Nlddc transcription was regulated by 20E. "
positive,"Identification of chemosensory genes from the antennal transcriptome of Indian meal moth Plodia interpunctella. Olfaction plays an indispensable role in mediating insect behavior, such as locating host plants, mating partners, and avoidance of toxins and predators. Olfactory-related proteins are required for olfactory perception of insects. However, very few olfactory-related genes have been reported in Plodia interpunctella up to now. In the present study, we sequenced the antennae transcriptome of P. interpunctella using the next-generation sequencing technology, and identified 117 candidate olfactory-related genes, including 29 odorant-binding proteins (OBPs), 15 chemosensory proteins (CSPs), three sensory neuron membrane proteins (SNMPs), 47 odorant receptors (ORs), 14 ionotropic receptors (IRs) and nine gustatory receptors (GRs). Further analysis of qRT-PCR revealed that nine OBPs, three CSPs, two SNMPs, nine ORs and two GRs were specifically expressed in the male antennae, whereas eight OBPs, six CSPs, one SNMP, 16 ORs, two GRs and seven IRs significantly expressed in the female antennae. Taken together, our results provided useful information for further functional studies on insect genes related to recognition of pheromone and odorant, which might be meaningful targets for pest management. "
