category,text
negative,"Efficient somatic and germline genome engineering of Bactrocera dorsalis by the CRISPR / Cas9 system. BACKGROUND: Bactrocera dorsalis (Hendel), a very destructive insect pest of many fruits and vegetables, is widespread in many Asian countries. To facilitate control of this pest, it is essential to investigate its genetics and gene function using targeted gene disruption. RESULTS: Here, we describe successful targeted mutagenesis of the white and transformer genes in B. dorsalis through use of the clustered regularly interspaced short palindromic repeats / CRISPR-associated 9 (CRISPR / Cas9) system. Co-injection of the white sgRNA and Cas9 mRNA into B. dorsalis embryos caused eye color change, and the white mutations in the germline were heritable. CRISPR-mediated knockout of the sex determination gene transformer (tra) in B. dorsalis resulted in a male-biased sex ratio and adult flies with abnormal outer and interior reproductive organs. Small indels and substitutions were induced by CRIRPR for both genes. CONCLUSION: Our data demonstrate that somatic and germline genome engineering of the pest B. dorsalis can be performed efficiently using the CRISPR / Cas9 system, opening the door to the use of the CRISPR-mediated method for functional annotations of genes in B. dorsalis and for its population control using, for example, such as gene drive. © 2018 Society of Chemical Industry. "
positive,"Analysis of Homologs of Cry-toxin Receptor-Related Proteins in the Midgut of a Non-Bt Target, Nilaparvata lugens (Stål) (Hemiptera: Delphacidae). The brown planthopper (BPH) Nilaparvata lugens is one of the most destructive insect pests in the rice fields of Asia. Like other hemipteran insects, BPH is not susceptible to Cry toxins of Bacillus thuringiensis (Bt) or transgenic rice carrying Bt cry genes. Lack of Cry receptors in the midgut is one of the main reasons that BPH is not susceptible to the Cry toxins. The main Cry-binding proteins (CBPs) of the susceptible insects are cadherin, aminopeptidase N (APN), and alkaline phosphatase (ALP). In this study, we analyzed and validated de novo assembled transcripts from transcriptome sequencing data of BPH to identify and characterize homologs of cadherin, APN, and ALP. We then compared the cadherin-, APN-, and ALP-like proteins of BPH to previously reported CBPs to identify their homologs in BPH. The sequence analysis revealed that at least one cadherin, one APN, and two ALPs of BPH contained homologous functional domains identified from the Cry-binding cadherin, APN, and ALP, respectively. Quantitative real-time polymerase chain reaction used to verify the expression level of each putative Cry receptor homolog in the BPH midgut indicated that the CBPs homologous APN and ALP were expressed at high or medium-high levels while the cadherin was expressed at a low level. These results suggest that homologs of CBPs exist in the midgut of BPH. However, differences in key motifs of CBPs, which are functional in interacting with Cry toxins, may be responsible for insusceptibility of BPH to Cry toxins. "
negative,"Phylogenetic footprinting analysis in the upstream regulatory regions of the Drosophila enhancer of split genes. During Drosophila development Suppressor of Hairless [Su(H)]-dependent Notch activation upregulates transcription of the Enhancer of split-Complex [E(spl)-C] genes. Drosophila melanogaster E(spl) genes share common transcription regulators including binding sites for Su(H), proneural, and E(spl) basic-helix-loop-helix (bHLH) proteins. However, the expression patterns of E(spl) genes during development suggest that additional factors are involved. To better understand regulators responsible for these expression patterns, recently available sequence and annotation data for multiple Drosophila genomes were used to compare the E(spl) upstream regulatory regions from more than nine Drosophila species. The mgamma and mbeta regulatory regions are the most conserved of the bHLH genes. Fine analysis of Su(H) sites showed that high-affinity Su(H) paired sites and the Su(H) paired site plus proneural site (SPS + A) architecture are completely conserved in a subset of Drosophila E(spl) genes. The SPS + A module is also present in the upstream regulatory regions of the more ancient mosquito and honeybee E(spl) bHLH genes. Additional transcription factor binding sites were identified upstream of the E(spl) genes and compared between species of Drosophila. Conserved sites provide new understandings about E(spl) regulation during development. Conserved novel sequences found upstream of multiple E(spl) genes may play a role in the expression of these genes. "
negative,"Mode of action of nanoparticles against insects. The employment of nanoparticles obtained through various synthesis routes as novel pesticides recently attracted high research attention. An impressive number of studies have been conducted to test their toxic potential against a wide number of arthropod pests and vectors, with major emphasis on mosquitoes and ticks. However, precise information on the mechanisms of action of nanoparticles against insects and mites are limited, with the noteworthy exception of silica, alumina, silver, and graphene oxide nanoparticles on insects, while no information is available for mites. Here, I summarize current knowledge about the mechanisms of action of nanoparticles against insects. Both silver and graphene oxide nanoparticles have a significant impact on insect antioxidant and detoxifying enzymes, leading to oxidative stress and cell death. Ag nanoparticles also reduced acetylcholinesterase activity, while polystyrene nanoparticles inhibited CYP450 isoenzymes. Au nanoparticles can act as trypsin inhibitors and disrupt development and reproduction. Metal nanoparticles can bind to S and P in proteins and nucleic acids, respectively, leading to a decrease in membrane permeability, therefore to organelle and enzyme denaturation, followed by cell death. Besides, Ag nanoparticles up- and downregulate key insect genes, reducing protein synthesis and gonadotrophin release, leading to developmental damages and reproductive failure. The toxicity of SiO2 and Al2O3 nanoparticles is due to their binding to the insect cuticle, followed by physico-sorption of waxes and lipids, leading to insect dehydration. In the final section, insect nanotoxicology research trends are critically discussed, outlining major challenges to predict the ecotoxicological consequences arising from the real-world use of nanoparticles as pesticides. "
negative,"The complete mitochondrial genome of Anopheles minimus (Diptera: Culicidae) and the phylogenetics of known Anopheles mitogenomes. Anopheles minimus is an important vector of human malaria in southern China and Southeast Asia. The phylogenetics of mosquitoes has not been well resolved, and the mitochondrial genome (mtgenome) has proven to be an important marker in the study of evolutionary biology. In this study, the complete mtgenome of An. minimus was sequenced for the first time. It is 15 395 bp long and encodes 37 genes, including 13 protein-coding genes (PCGs), 22 transfer RNAs (tRNAs), two ribosomal RNAs (rRNAs) and a non-coding region. The gene organization is consistent with those of known Anopheles mtgenomes. The mtgenome performs a clear bias in nucleotide composition with a positive AT-skew and a negative GC-skew. All 13 PCGs prefer to use the codon UUA (Leu), ATN as initiation codon but cytochrome-oxidase subunit 1 (COI) and ND5, with TCG and GTG, and TAA as termination codon, but COI, COII, COIII and ND4, all with the incomplete T. tRNAs have the typical clover-leaf structure, but tRNA(Ser(AGN)) is consistent with known Anopheles mtgenomes. The control region includes a conserved T-stretch and a (TA)n stretch, and has the highest A+T content at 93.1%. The phylogenetics of An. minimus with 18 other Anopheles species was constructed by maximum likelihood and Bayesian inference, based on concatenated PCG sequences. The subgenera, Cellia and Anopheles, and Nyssorhynchus and Kerteszia have mutually close relationships, respectively. The Punctulatus group and Leucosphyrus group of Neomyzomyia Series, and the Albitarsis group of Albitarsis Series were suggested to be monophyletic. The monophyletic status of the subgenera, Cellia, Anopheles, Nyssorhynchus and Kerteszia need to be further elucidated.  "
negative,"Selective sweep of Wolbachia and parthenogenetic host genomes - the example of the weevil Eusomus ovulum. Most parthenogenetic weevil species are postulated to have originated via hybridization, but Wolbachia has also been speculated to play a role via the induction of parthenogenesis. Here, we examine the molecular diversity of Wolbachia and parthenogenetic host genomes. The host species studied here, Eusomus ovulum, is known to be exclusively parthenogenetic and triploid. The E. ovulum populations that we examined had a low genetic diversity of mitochondrial (cytochrome oxidase I gene) and nuclear markers (internal transcribed spacer 2 and elongation factor 1-α gene), and they all were infected by only single bacteria strains (genotyped for five genes according to the multilocus sequence typing system). We found significant signs of linkage disequilibrium and a lack of recombination amongst all of the examined genomes (bacteria and host), which strongly indicates a selective sweep. The lack of heterozygosity in host nuclear genes, missing bisexual populations and selective sweep between the parthenogenetic host and bacteria genomes suggest that parthenogenesis in this species could have originated as a result of infection rather than hybridization. However, the finding that highly similar Wolbachia strains are also present in other parthenogenetic weevils from the same habitat suggests the opposite scenario: bacteria may have infected the already parthenogenetic lineage and taken advantage of the host's unisexual reproduction. "
negative,"Genome-wide RIP-Chip analysis of translational repressor-bound mRNAs in the Plasmodium gametocyte. BACKGROUND: Following fertilization, the early proteomes of metazoans are defined by the translation of stored but repressed transcripts; further embryonic development relies on de novo transcription of the zygotic genome. During sexual development of Plasmodium berghei, a rodent model for human malaria species including P. falciparum, the stability of repressed mRNAs requires the translational repressors DOZI and CITH. When these repressors are absent, Plasmodium zygote development and transmission to the mosquito vector is halted, as hundreds of transcripts become destabilized. However, which mRNAs are direct targets of these RNA binding proteins, and thus subject to translational repression, is unknown. RESULTS: We identify the maternal mRNA contribution to post-fertilization development of P. berghei using RNA immunoprecipitation and microarray analysis. We find that 731 mRNAs, approximately 50% of the transcriptome, are associated with DOZI and CITH, allowing zygote development to proceed in the absence of RNA polymerase II transcription. Using GFP-tagging, we validate the repression phenotype of selected genes and identify mRNAs relying on the 5' untranslated region for translational control. Gene deletion reveals a novel protein located in the ookinete crystalloid with an essential function for sporozoite development. CONCLUSIONS: Our study details for the first time the P. berghei maternal repressome. This mRNA population provides the developing ookinete with coding potential for key molecules required for life-cycle progression, and that are likely to be critical for the transmission of the malaria parasite from the rodent and the human host to the mosquito vector. "
negative,"Insect mitochondrial genomics 3: the complete mitochondrial genome sequences of representatives from two neuropteroid orders: a dobsonfly (order Megaloptera) and a giant lacewing and an owlfly (order Neuroptera). We describe the complete mitochondrial genomes from representatives of two orders of the Neuropterida: a dobsonfly, Corydalus cornutus (Megaloptera: Corydalidae, GenBank Accession No. FJ171323), a giant lacewing Polystoechotes punctatus (Neuroptera: Polystoechotidae, FJ171325), and an owlfly, Ascaloptynx appendiculatus (Neuroptera: Ascalaphidae, FJ171324). The dobsonfly sequence is 15,687 base pairs with a major noncoding (A+T rich) region of approximately 967 bp. The gene content and organization of the dobsonfly is identical to that of most insects. The giant lacewing sequence is 16 036 bp with a major noncoding region of about 1123 bp, while the owlfly sequence is 15,877 bp with a major noncoding region of about 1066 bp. The two Neuroptera sequences include a transposition of two tRNA genes, tRNATrp and tRNACys. These tRNA genes are coded on opposite strands and overlap by seven residues in the standard insect mitochondrial gene arrangement. Thus, the transposition required a duplication of at least the region of overlap. It is likely that the transposition occurred by a duplication of both genes followed by deletion of one copy of each gene. Examination of this region in two other neuropteroid species, a snakefly, Agulla sp. (Raphidioptera: Raphidiidae), and an antlion, Myrmeleon immaculatus (Neuroptera: Myrmeleontidae), shows that the rearrangement is widespread in the order Neuroptera but not present in either of the other two orders of Neuropterida. "
negative,"A maturing understanding of the composition of the insect gene repertoire. Recent insect genome sequencing initiatives have dramatically accelerated the accumulation of genomics data resources sampling species from different lineages to explore the incredible diversity of insect biology. These efforts have built a comprehensive catalogue of the insect gene repertoire, which is expanded with each newly-sequenced genome and continually refined using knowledge from cross-species comparisons and new sources of evidence. Since the sequencing of the very first insect genomes, comparative analyses have identified shared (homologous) and equivalent (orthologous) genes, as well as subsets of genes that appear to be unique. With the number of available insect genomes fast approaching one hundred, a maturing understanding of the composition of the insect gene repertoire broadly partitions it into an expected core of universally-present orthologues and a diverse array of lineage-specific and species-specific genes. While homology and orthology help to build evolutionarily-informed functional hypotheses for many genes from these newly-sequenced genomes, experimental interrogations are required to test such hypotheses and to probe the functions of genes for which homology offers no clues. Such taxonomically-restricted genes may represent the current contents of an evolutionary melting pot, out of which novel adaptations have emerged to make insects the most successful group of animals on Earth. "
negative,"A mutation in the PSST homologue of complex I (NADH:ubiquinone oxidoreductase) from Tetranychus urticae is associated with resistance to METI acaricides. The acaricidal compounds pyridaben, tebufenpyrad and fenpyroximate are frequently used in the control of phytophagous mites such as Tetranychus urticae, and are referred to as Mitochondrial Electron Transport Inhibitors, acting at the quinone binding pocket of complex I (METI-I acaricides). Because of their very frequent use, resistance evolved fast more than 20 years ago, and is currently wide-spread. Increased activity of P450 monooxygenases has been often associated with resistance, but target-site based resistance mechanisms were never reported. Here, we report the discovery of a mutation (H92R) in the PSST homologue of complex I in METI-I resistant T. urticae strains. The position of the mutation was studied using the high-resolution crystal structure of Thermus thermophilus, and was located in a stretch of amino acids previously photo-affinity labeled by fenpyroximate. Selection experiments with a strain segregating for the mutant allele, together with marker-assisted back-crossing of the mutation in a susceptible background, confirmed the involvement of the mutation in METI-I resistance. Additionally, an independent genetic mapping approach; QTL analysis identified the genomic region of pyridaben resistance, which included the PSST gene. Last, we used CRISPR-Cas9 genome editing tools to introduce the mutation in the Drosophila PSST homologue. "
negative,"Distal-less homeobox genes of insects and spiders: genomic organization, function, regulation and evolution. The Distal-less (Dll) genes are homeodomain transcription factors that are present in most Metazoa and in representatives of all investigated arthropod groups. In Drosophila, the best studied insect, Dll plays an essential role in forming the proximodistal axis of the legs, antennae and analia, and in specifying antennal identity. The initiation of Dll expression in clusters of cells in mid-lateral regions of the Drosophila embryo represents the earliest genetic marker of limbs. Dll genes are involved in the development of the peripheral nervous system and sensitive organs, and they also function as master regulators of black pigmentation in some insect lineages. Here we analyze the complete genomes of six insects, the nematode Caenorhabditis elegans and Homo sapiens, as well as multiple Dll sequences available in databases in order to examine the structure and protein features of these genes. We also review the function, expression, regulation and evolution of arthropod Dll genes with emphasis on insects and spiders.  "
negative,"Gene expression in gut symbiotic organ of stinkbug affected by extracellular bacterial symbiont. The bean bug Riptortus pedestris possesses a specialized symbiotic organ in a posterior region of the midgut, where numerous crypts harbor extracellular betaproteobacterial symbionts of the genus Burkholderia. Second instar nymphs orally acquire the symbiont from the environment, and the symbiont infection benefits the host by facilitating growth and by occasionally conferring insecticide resistance. Here we performed comparative transcriptomic analyses of insect genes expressed in symbiotic and non-symbiotic regions of the midgut dissected from Burkholderia-infected and uninfected R. pedestris. Expression sequence tag analysis of cDNA libraries and quantitative reverse transcription PCR identified a number of insect genes expressed in symbiosis- or aposymbiosis-associated patterns. For example, genes up-regulated in symbiotic relative to aposymbiotic individuals, including many cysteine-rich secreted protein genes and many cathepsin protease genes, are likely to play a role in regulating the symbiosis. Conversely, genes up-regulated in aposymbiotic relative to symbiotic individuals, including a chicken-type lysozyme gene and a defensin-like protein gene, are possibly involved in regulation of non-symbiotic bacterial infections. Our study presents the first transcriptomic data on gut symbiotic organ of a stinkbug, which provides initial clues to understanding of molecular mechanisms underlying the insect-bacterium gut symbiosis and sheds light on several intriguing commonalities between endocellular and extracellular symbiotic associations. "
negative,"The complete mitochondrial genome of the Orange Hairstreak Japonica lutea (Lepidoptera: Lycaenidae: Theclinae). The complete mitochondrial genome of Japonica lutea is 15,225 bp in length, containing 37 typical insect genes: 13 protein-coding genes, 22 tRNA genes, 2 ribosomal RNA genes and a non-coding AT-rich region. All the 13 PCGs are initiated with ATN, except for COI gene which is started by CGA. Nine PCGs use the complete termination codon (TAN), whereas the COI, COII, ND4 and ND5 genes end with single nucleotide T. In total, 131 bp intergenic spacers and 31 bp overlapping sequences are interspersed throughout the whole genome. The two rRNA genes (lrRNA and srRNA) are 1327 bp and 770 bp in size, with their AT contents of 87.8% and 85.5%, respectively. All tRNAs display typical secondary cloverleaf structures except for tRNASer(AGN) which loses the DHU arm. The 401 bp long AT-rich region contains several features characteristic of the lepidopterans, such as the ATAGA motif followed by a 19 bp poly-T stretch, a microsatellite-like (AT)7 element preceded by the ATTTA motif and a 9 bp poly-A stretch. "
positive,"Genome-wide analysis of Notch signalling in Drosophila by transgenic RNAi. Genome-wide RNA interference (RNAi) screens have identified near-complete sets of genes involved in cellular processes. However, this methodology has not yet been used to study complex developmental processes in a tissue-specific manner. Here we report the use of a library of Drosophila strains expressing inducible hairpin RNAi constructs to study the Notch signalling pathway during external sensory organ development. We assigned putative loss-of-function phenotypes to 21.2% of the protein-coding Drosophila genes. Using secondary assays, we identified 6 new genes involved in asymmetric cell division and 23 novel genes regulating the Notch signalling pathway. By integrating our phenotypic results with protein interaction data, we constructed a genome-wide, functionally validated interaction network governing Notch signalling and asymmetric cell division. We used clustering algorithms to identify nuclear import pathways and the COP9 signallosome as Notch regulators. Our results show that complex developmental processes can be analysed on a genome-wide level and provide a unique resource for functional annotation of the Drosophila genome. "
negative,"Comparative analysis of two phenologically divergent populations of the pine processionary moth (Thaumetopoea pityocampa) by de novo transcriptome sequencing. The pine processionary moth Thaumetopoea pityocampa is a Mediterranean lepidopteran defoliator that experiences a rapid range expansion towards higher latitudes and altitudes due to the current climate warming. Its phenology - the time of sexual reproduction - is certainly a key trait for the local adaptation of the processionary moth to climatic conditions. Moreover, an exceptional case of allochronic differentiation was discovered ca. 15 years ago in this species. A population with a shifted phenology (the summer population, SP) co-exists near Leiria, Portugal, with a population following the classical cycle (the winter population, WP). The existence of this population is an outstanding opportunity to decipher the genetic bases of phenology. No genomic resources were so far available for T. pityocampa. We developed a high-throughput sequencing approach to build a first reference transcriptome, and to proceed with comparative analyses of the sympatric SP and WP. We pooled RNA extracted from whole individuals of various developmental stages, and performed a transcriptome characterisation for both populations combining Roche 454-FLX and traditional Sanger data. The obtained sequences were clustered into ca. 12,000 transcripts corresponding to 9265 unigenes. The mean transcript coverage was 21.9 reads per bp. Almost 70% of the de novo assembled transcripts displayed significant similarity to previously published proteins and around 50% of the transcripts contained a full-length coding region. Comparative analyses of the population transcriptomes allowed to investigate genes specifically expressed in one of the studied populations only, and to identify the most divergent homologous SP / WP transcripts. The most divergent pairs of transcripts did not correspond to obvious phenology-related candidate genes, and 43% could not be functionally annotated. This study provides the first comprehensive genome-wide resource for the target species T. pityocampa. Many of the assembled genes are orthologs of published Lepidoptera genes, which allows carrying out gene-specific re-sequencing. Data mining has allowed the identification of SNP loci that will be useful for population genomic approaches and genome-wide scans of population differentiation to identify signatures of selection.  "
